contestSlug,contestTitle,date,problemCount,titleSlug,questionFrontendId,title,difficulty,acRate
weekly-contest-344,Weekly Contest 344,2023-05-07,4,frequency-tracker,2671,Frequency Tracker,Medium,31.5
weekly-contest-344,Weekly Contest 344,2023-05-07,4,number-of-adjacent-elements-with-the-same-color,2672,Number of Adjacent Elements With the Same Color,Medium,59.8
weekly-contest-344,Weekly Contest 344,2023-05-07,4,make-costs-of-paths-equal-in-a-binary-tree,2673,Make Costs of Paths Equal in a Binary Tree,Medium,58.9
weekly-contest-345,Weekly Contest 345,2023-05-14,4,find-the-losers-of-the-circular-game,2682,Find the Losers of the Circular Game,Easy,50.4
weekly-contest-345,Weekly Contest 345,2023-05-14,4,neighboring-bitwise-xor,2683,Neighboring Bitwise XOR,Medium,79.8
weekly-contest-345,Weekly Contest 345,2023-05-14,4,maximum-number-of-moves-in-a-grid,2684,Maximum Number of Moves in a Grid,Medium,58.8
weekly-contest-345,Weekly Contest 345,2023-05-14,4,count-the-number-of-complete-components,2685,Count the Number of Complete Components,Medium,80.8
weekly-contest-346,Weekly Contest 346,2023-05-21,4,minimum-string-length-after-removing-substrings,2696,Minimum String Length After Removing Substrings,Easy,77.2
weekly-contest-346,Weekly Contest 346,2023-05-21,4,lexicographically-smallest-palindrome,2697,Lexicographically Smallest Palindrome,Easy,81.5
weekly-contest-346,Weekly Contest 346,2023-05-21,4,find-the-punishment-number-of-an-integer,2698,Find the Punishment Number of an Integer,Medium,81.6
weekly-contest-346,Weekly Contest 346,2023-05-21,4,modify-graph-edge-weights,2699,Modify Graph Edge Weights,Hard,55.6
weekly-contest-347,Weekly Contest 347,2023-05-28,4,remove-trailing-zeros-from-a-string,2710,Remove Trailing Zeros From a String,Easy,79.8
weekly-contest-347,Weekly Contest 347,2023-05-28,4,difference-of-number-of-distinct-values-on-diagonals,2711,Difference of Number of Distinct Values on Diagonals,Medium,68.6
weekly-contest-347,Weekly Contest 347,2023-05-28,4,minimum-cost-to-make-all-characters-equal,2712,Minimum Cost to Make All Characters Equal,Medium,54.6
weekly-contest-347,Weekly Contest 347,2023-05-28,4,maximum-strictly-increasing-cells-in-a-matrix,2713,Maximum Strictly Increasing Cells in a Matrix,Hard,31.6
weekly-contest-348,Weekly Contest 348,2023-06-04,4,minimize-string-length,2716,Minimize String Length,Easy,79.6
weekly-contest-348,Weekly Contest 348,2023-06-04,4,semi-ordered-permutation,2717,Semi-Ordered Permutation,Easy,64.4
weekly-contest-348,Weekly Contest 348,2023-06-04,4,sum-of-matrix-after-queries,2718,Sum of Matrix After Queries,Medium,32.3
weekly-contest-348,Weekly Contest 348,2023-06-04,4,count-of-integers,2719,Count of Integers,Hard,39.1
weekly-contest-349,Weekly Contest 349,2023-06-11,4,neither-minimum-nor-maximum,2733,Neither Minimum nor Maximum,Easy,76.5
weekly-contest-349,Weekly Contest 349,2023-06-11,4,lexicographically-smallest-string-after-substring-operation,2734,Lexicographically Smallest String After Substring Operation,Medium,35.3
weekly-contest-349,Weekly Contest 349,2023-06-11,4,collecting-chocolates,2735,Collecting Chocolates,Medium,35.3
weekly-contest-349,Weekly Contest 349,2023-06-11,4,maximum-sum-queries,2736,Maximum Sum Queries,Hard,31.0
weekly-contest-350,Weekly Contest 350,2023-06-18,4,total-distance-traveled,2739,Total Distance Traveled,Easy,41.7
weekly-contest-350,Weekly Contest 350,2023-06-18,4,find-the-value-of-the-partition,2740,Find the Value of the Partition,Medium,65.1
weekly-contest-350,Weekly Contest 350,2023-06-18,4,special-permutations,2741,Special Permutations,Medium,29.8
weekly-contest-350,Weekly Contest 350,2023-06-18,4,painting-the-walls,2742,Painting the Walls,Hard,49.2
weekly-contest-351,Weekly Contest 351,2023-06-25,4,number-of-beautiful-pairs,2748,Number of Beautiful Pairs,Easy,52.7
weekly-contest-351,Weekly Contest 351,2023-06-25,4,minimum-operations-to-make-the-integer-zero,2749,Minimum Operations to Make the Integer Zero,Medium,58.2
weekly-contest-351,Weekly Contest 351,2023-06-25,4,ways-to-split-array-into-good-subarrays,2750,Ways to Split Array Into Good Subarrays,Medium,35.3
weekly-contest-351,Weekly Contest 351,2023-06-25,4,robot-collisions,2751,Robot Collisions,Hard,61.6
weekly-contest-352,Weekly Contest 352,2023-07-02,4,longest-even-odd-subarray-with-threshold,2760,Longest Even Odd Subarray With Threshold,Easy,32.4
weekly-contest-352,Weekly Contest 352,2023-07-02,4,prime-pairs-with-target-sum,2761,Prime Pairs With Target Sum,Medium,38.2
weekly-contest-352,Weekly Contest 352,2023-07-02,4,continuous-subarrays,2762,Continuous Subarrays,Medium,58.0
weekly-contest-352,Weekly Contest 352,2023-07-02,4,sum-of-imbalance-numbers-of-all-subarrays,2763,Sum of Imbalance Numbers of All Subarrays,Hard,43.7
weekly-contest-353,Weekly Contest 353,2023-07-09,4,find-the-maximum-achievable-number,2769,Find the Maximum Achievable Number,Easy,91.5
weekly-contest-353,Weekly Contest 353,2023-07-09,4,maximum-number-of-jumps-to-reach-the-last-index,2770,Maximum Number of Jumps to Reach the Last Index,Medium,51.0
weekly-contest-353,Weekly Contest 353,2023-07-09,4,longest-non-decreasing-subarray-from-two-arrays,2771,Longest Non-decreasing Subarray From Two Arrays,Medium,31.4
weekly-contest-353,Weekly Contest 353,2023-07-09,4,apply-operations-to-make-all-array-elements-equal-to-zero,2772,Apply Operations to Make All Array Elements Equal to Zero,Medium,33.7
weekly-contest-354,Weekly Contest 354,2023-07-16,4,sum-of-squares-of-special-elements,2778,Sum of Squares of Special Elements ,Easy,82.3
weekly-contest-354,Weekly Contest 354,2023-07-16,4,maximum-beauty-of-an-array-after-applying-operation,2779,Maximum Beauty of an Array After Applying Operation,Medium,58.5
weekly-contest-354,Weekly Contest 354,2023-07-16,4,minimum-index-of-a-valid-split,2780,Minimum Index of a Valid Split,Medium,75.5
weekly-contest-354,Weekly Contest 354,2023-07-16,4,length-of-the-longest-valid-substring,2781,Length of the Longest Valid Substring,Hard,38.6
weekly-contest-355,Weekly Contest 355,2023-07-23,4,split-strings-by-separator,2788,Split Strings by Separator,Easy,76.5
weekly-contest-355,Weekly Contest 355,2023-07-23,4,largest-element-in-an-array-after-merge-operations,2789,Largest Element in an Array after Merge Operations,Medium,48.2
weekly-contest-355,Weekly Contest 355,2023-07-23,4,maximum-number-of-groups-with-increasing-length,2790,Maximum Number of Groups With Increasing Length,Hard,23.3
weekly-contest-355,Weekly Contest 355,2023-07-23,4,count-paths-that-can-form-a-palindrome-in-a-tree,2791,Count Paths That Can Form a Palindrome in a Tree,Hard,53.1
weekly-contest-356,Weekly Contest 356,2023-07-30,4,number-of-employees-who-met-the-target,2798,Number of Employees Who Met the Target,Easy,87.9
weekly-contest-356,Weekly Contest 356,2023-07-30,4,count-complete-subarrays-in-an-array,2799,Count Complete Subarrays in an Array,Medium,76.1
